date;time;humidity;pressure;temperature
"2023-03-19";"12:00:00";18.69;817.31;20.47
"2023-03-18";"12:30:00";14.63;853.97;-2.56
"2023-03-17";"13:00:00";59.22;976.10;12.74
"2023-03-16";"13:30:00";40.19;554.66;-9.40
"2023-03-15";"14:00:00";19.76;632.23;20.61
"2023-03-14";"14:30:00";22.63;523.86;27.93
"2023-03-13";"15:00:00";54.10;906.03;28.74
"2023-03-12";"15:30:00";43.80;675.66;10.16
"2023-03-11";"16:00:00";25.20;523.90;-7.35
"2023-03-10";"16:30:00";51.86;913.93;-0.35
"2023-03-09";"17:00:00";34.12;751.29;4.39
"2023-03-08";"17:30:00";47.54;642.36;23.11
"2023-03-07";"18:00:00";48.24;650.02;34.05
"2023-03-06";"18:30:00";55.35;818.13;33.90
"2023-03-05";"19:00:00";52.96;1004.27;21.58
"2023-03-04";"19:30:00";17.83;513.45;6.21
"2023-03-03";"20:00:00";59.54;956.12;15.34
"2023-03-02";"20:30:00";21.92;564.37;29.74
"2023-03-01";"21:00:00";18.73;681.29;9.66
"2023-02-28";"21:30:00";55.47;966.73;-1.92
"2023-02-27";"22:00:00";13.25;605.68;17.89
"2023-02-26";"22:30:00";57.96;775.10;-3.45
"2023-02-25";"23:00:00";12.10;991.64;30.99
"2023-02-24";"23:30:00";39.58;762.41;18.74
"2023-02-23";"00:00:00";57.70;965.45;-8.62
"2023-02-22";"00:30:00";41.83;759.84;0.06
"2023-02-21";"01:00:00";29.18;507.71;23.44
"2023-02-20";"01:30:00";44.32;995.92;22.07
"2023-02-19";"02:00:00";45.17;915.84;-0.58
"2023-02-18";"02:30:00";40.56;588.16;8.62
"2023-02-17";"03:00:00";46.87;723.90;15.39
"2023-02-16";"03:30:00";22.78;938.26;8.56
"2023-02-15";"04:00:00";53.44;657.03;19.17
"2023-02-14";"04:30:00";12.41;748.52;16.34
"2023-02-13";"05:00:00";10.48;999.72;1.89
"2023-02-12";"05:30:00";36.97;573.24;3.47
"2023-02-11";"06:00:00";50.01;987.67;17.60
"2023-02-10";"06:30:00";24.35;951.49;7.54
"2023-02-09";"07:00:00";28.49;972.65;10.73
"2023-02-08";"07:30:00";26.91;529.19;8.69
"2023-02-07";"08:00:00";45.68;972.43;-6.47
"2023-02-06";"08:30:00";38.11;915.79;-2.39
"2023-02-05";"09:00:00";25.01;996.89;15.85
"2023-02-04";"09:30:00";39.85;781.19;31.68
"2023-02-03";"10:00:00";54.83;733.00;33.19
"2023-02-02";"10:30:00";27.46;687.14;7.96
"2023-02-01";"11:00:00";40.78;653.78;11.01
"2023-01-31";"11:30:00";23.50;839.93;5.84
"2023-01-30";"12:00:00";27.14;699.75;26.88
